Country,Fiscal Year,GDP
Albania,1997,2258513974.0968
Algeria,1997,48177612042.1507
Andorra,1997,1180646068.29262
Angola,1997,7648377412.83277
Antigua and Barbuda,1997,680618518.518518
Argentina,1997,292859000000.0
Armenia,1997,1639492444.76152
Aruba,1997,1531843575.41899
Australia,1997,435613768959.97
Austria,1997,212790348404.555
Azerbaijan,1997,3962362387.47922
"Bahamas, The",1997,6332360000.0
Bahrain,1997,6349202984.63326
Bangladesh,1997,48244309133.4895
Barbados,1997,2498384129.66738
Belarus,1997,14128408565.7064
Belgium,1997,252708051420.839
Belize,1997,868000000.0
Benin,1997,2268301645.09367
Bermuda,1997,2932827000.0
Bhutan,1997,352229078.324249
Bolivia,1997,7925736318.63679
Bosnia and Herzegovina,1997,3671910025.96515
Botswana,1997,5020265168.28901
Brazil,1997,883206452832.811
Brunei,1997,5197312555.4576
Bulgaria,1997,11316126257.5839
Burkina Faso,1997,2447669100.46978
Burundi,1997,972896267.915425
Cambodia,1997,3443413388.6909
Cameroon,1997,10789458426.1088
Canada,1997,654987932556.605
Cape Verde,1997,490608657.924976
Central African Republic,1997,937741512.447574
Chad,1997,1544689575.99186
Chile,1997,85728899954.449
China,1997,961602019650.615
Colombia,1997,106656492324.769
Comoros,1997,364445600.133152
"Congo, Dem. Rep.",1997,6090840548.18784
"Congo, Rep.",1997,2322719101.28455
Costa Rica,1997,12614602382.2012
Cote d'Ivoire,1997,18047558026.6049
Croatia,1997,24172608178.0871
Cuba,1997,25365908100.0
Cyprus,1997,9547818700.11403
Czech Republic,1997,62180519005.944
Denmark,1997,173538719988.553
Djibouti,1997,502675542.001227
Dominica,1997,302988888.888889
Dominican Republic,1997,20017449966.0857
Ecuador,1997,28162053026.5133
"Egypt, Arab Rep.",1997,78436578171.0914
El Salvador,1997,10221705900.0
Eritrea,1997,686490090.140141
Estonia,1997,5154420649.23354
Eswatini,1997,1716714194.30934
Ethiopia(excludes Eritrea),1997,8589233419.59411
Fiji,1997,2090221137.02876
Finland,1997,126912152101.707
Fm Sudan,1997,11681179570.9007
France,1997,1452884917959.09
French Polynesia,1997,3762859109.39532
Gabon,1997,5326817111.31062
"Gambia, The",1997,803633368.735802
Georgia,1997,3510520231.21387
Germany,1997,2211989623279.95
Ghana,1997,6891433840.90915
Greece,1997,143157600149.757
Greenland,1997,1072154406.78905
Grenada,1997,392190592.592593
Guatemala,1997,17790026221.6139
Guinea,1997,3783700461.64359
Guinea-Bissau,1997,268551010.939623
Guyana,1997,749138009.56454
Honduras,1997,5737099650.19011
"Hong Kong, China",1997,177353167213.821
Hungary,1997,47296961369.1014
Iceland,1997,7569673903.96179
India,1997,415867567334.185
Indonesia,1997,215748998609.635
"Iran, Islamic Rep.",1997,113919163421.155
Iraq,1997,20764857056.3795
Ireland,1997,82856648758.3572
Israel,1997,118861100787.105
Italy,1997,1241879604365.62
Jamaica,1997,8400041802.63506
Japan,1997,4492449998031.88
Jordan,1997,7245839210.15515
Kazakhstan,1997,22165932062.966
Kenya,1997,13115764432.7232
Kiribati,1997,67538482.0911695
"Korea, Rep.",1997,569754543829.957
Kuwait,1997,30350207212.7622
Kyrgyz Republic,1997,1767864035.71943
Lao PDR,1997,1747011857.33107
Latvia,1997,6527926445.6811
Lebanon,1997,15751867489.4446
Lesotho,1997,998004330.90987
Libya,1997,30700890193.3163
Lithuania,1997,10118631851.5322
Luxembourg,1997,19563836265.2233
Macao,1997,7267571196.45572
Madagascar,1997,4262965421.14559
Malawi,1997,3875785863.38323
Malaysia,1997,100005323301.867
Maldives,1997,508223602.378929
Mali,1997,2697105821.83307
Malta,1997,3722389055.72239
Mauritania,1997,2071996518.57055
Mauritius,1997,4187375887.41175
Mexico,1997,500416010941.521
"Micronesia, Fed. Sts.",1997,206626300.0
Moldova,1997,1930081168.83117
Mongolia,1997,1180934202.83801
Morocco,1997,39147844526.0838
Mozambique,1997,4648838896.06781
Myanmar,1997,5633070602.54016
Namibia,1997,4154990250.56993
Nepal,1997,4918691916.53516
Netherlands,1997,416812740004.518
New Caledonia,1997,3291131295.15184
New Zealand,1997,66073130218.3528
Nicaragua,1997,4389973334.97976
Niger,1997,2290318908.81986
Nigeria,1997,54457835603.1357
North Macedonia,1997,3912986090.97363
Norway,1997,161356612878.694
Occ.Pal.Terr,1997,3759800000.0
Oman,1997,15837451235.3706
Pakistan,1997,62433340468.0228
Panama,1997,10677286100.0
Papua New Guinea,1997,4936615298.79367
Paraguay,1997,9965225678.05093
Peru,1997,58147522522.5225
Philippines,1997,94106316500.6777
Poland,1997,159358194732.094
Portugal,1997,117016535162.95
Qatar,1997,11297802115.3846
Romania,1997,35575197534.5787
Russian Federation,1997,404928954191.876
Rwanda,1997,1851558199.35773
Samoa,1997,285475620.929503
Saudi Arabia,1997,165963594803.636
Senegal,1997,6041478722.24648
"Serbia, FR(Serbia/Montenegro)",1997,25676487999.5941
Seychelles,1997,598967022.07205
Sierra Leone,1997,850218033.622007
Singapore,1997,100123798454.007
Slovak Republic,1997,27706028095.6157
Slovenia,1997,20763101740.6963
Solomon Islands,1997,526554053.175437
