Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Afghanistan,1997,21514488,3.76,3.77,33.0,50.6,-0.1,-2438.0
Albania,1997,3225413,-0.01,1.35,117.7,19.5,-13.6,-43782.0
Algeria,1997,29318185,1.6,1.71,12.3,22.3,-1.2,-33826.0
American Samoa,1997,55918,0.0,0.0,282.4,0.0,0.0,0.0
Andorra,1997,64053,1.23,0.67,136.9,11.4,5.7,0.0
Angola,1997,13430308,2.82,2.95,10.8,48.6,-1.3,-18020.0
Anguilla,1997,10439,3.09,1.08,114.7,16.2,20.0,0.0
Antigua and Barbuda,1997,71454,1.92,1.64,161.3,23.5,2.8,0.0
Argentina,1997,36102183,1.18,1.23,13.2,19.7,-0.5,-16447.0
Armenia,1997,3112663,-0.3,0.81,110.4,16.0,-11.1,-34480.0
Aruba,1997,86206,3.12,0.95,478.9,16.9,21.8,1877.0
Australia,1997,18197799,1.15,0.67,2.4,13.8,4.8,87079.0
Austria,1997,8069875,0.08,0.06,97.9,10.4,0.2,1536.0
Azerbaijan,1997,8223513,1.06,1.16,99.5,19.3,-1.0,-8200.0
"Bahamas, The",1997,266380,2.44,1.69,26.6,22.3,7.5,2006.0
Bahrain,1997,610845,2.36,1.99,803.7,23.1,3.7,2261.0
Bangladesh,1997,121880765,1.9,2.4,936.3,31.5,-5.1,-616352.0
Barbados,1997,270749,0.51,0.54,629.6,14.1,-0.3,0.0
Belarus,1997,10128530,-0.48,-0.47,49.9,8.8,-0.2,-1827.0
Belgium,1997,10199787,0.18,0.12,336.9,11.4,0.6,6041.0
Belize,1997,241105,2.32,2.62,10.6,30.9,-2.9,0.0
Benin,1997,6054686,3.18,3.2,54.7,46.1,-0.2,-1309.0
Bermuda,1997,61522,0.95,0.68,0.0,14.0,2.7,0.0
Bhutan,1997,618427,1.95,1.95,16.1,28.6,0.0,0.0
Bolivia,1997,7677668,2.09,2.25,7.1,31.5,-1.6,-12000.0
Bosnia and Herzegovina,1997,3590694,0.9,0.57,70.1,13.5,3.3,11866.0
Botswana,1997,1545888,2.55,1.91,2.7,31.8,6.4,9961.0
Brazil,1997,168286349,1.51,1.51,20.1,21.5,0.0,6778.0
Brunei,1997,303092,2.46,2.11,57.6,24.6,3.5,1066.0
Bulgaria,1997,8121168,-1.08,-0.72,74.9,7.9,-3.6,-29549.0
Burkina Faso,1997,10530454,2.21,3.16,38.5,49.2,-9.5,-100050.0
Burma,1997,44766187,1.45,1.57,68.5,25.6,-1.2,-54755.0
Burundi,1997,5819653,1.32,3.03,226.6,44.7,-17.1,-99200.0
Cabo Verde,1997,404001,2.25,2.34,100.2,31.2,-0.9,0.0
Cambodia,1997,11826621,1.97,2.07,67.0,30.7,-1.1,-12575.0
Cameroon,1997,14571701,2.83,2.92,30.8,43.0,-1.0,-13840.0
Canada,1997,30305602,0.79,0.37,3.3,10.8,4.2,126465.0
Cayman Islands,1997,34860,3.4,1.08,132.0,15.4,23.2,0.0
Central African Republic,1997,3667155,2.38,2.31,5.9,40.3,0.7,2468.0
Chad,1997,7349130,3.17,3.15,5.8,48.7,0.2,1320.0
Chile,1997,14591013,1.41,1.33,19.6,18.8,0.8,12001.0
China,1997,1239686431,0.76,0.78,132.9,14.2,-0.2,-240000.0
Colombia,1997,39155201,1.28,1.8,37.7,23.5,-5.1,-200968.0
Comoros,1997,506252,2.44,2.83,226.5,38.9,-3.9,-1975.0
Congo (Brazzaville),1997,2864961,2.0,2.73,8.4,36.3,-7.2,-20700.0
Congo (Kinshasa),1997,48564598,1.29,2.94,21.4,46.9,-16.5,-799600.0
